"PVWatts: Hourly PV Performance Data"
"Requested Location:","johannesburg south africa"
"Location:","HARARE, ZIMBABWE"
"Lat (deg S):","17.92"
"Long (deg E):","31.13"
"Elev (m):","1503"
"DC System Size (kW):","3"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","50"
"Array Azimuth (deg):","0"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","1.85"
"Initial Cost","40.00"
"Cost of Electricity Generated by System ($/kWh):","2.05"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","17.9","1.5","0","17.9","0","0"
"1","1","1","0","0","17.5","1.5","0","17.5","0","0"
"1","1","2","0","0","17.1","1.2","0","17.1","0","0"
"1","1","3","0","0","16.8","0.8","0","16.8","0","0"
"1","1","4","0","0","16.3","0.5","0","16.3","0","0"
"1","1","5","0","7","15.8","2.6","5.491","14.136","14.889","0"
"1","1","6","69","81","17.7","3.9","59.553","17.53","175.892","155.856"
"1","1","7","73","207","19.3","5.1","155.634","21.148","398.419","373.655"
"1","1","8","101","333","20.8","4.1","273.46","25.654","688.62","656.845"
"1","1","9","204","379","22.2","3.1","374.443","30.19","923.324","885.179"
"1","1","10","119","555","23.7","2.1","481.598","35.778","1172.44","1126.848"
"1","1","11","97","584","24.1","2.4","499.221","36.427","1214.335","1167.421"
"1","1","12","79","567","24.4","2.8","476.395","35.646","1163.92","1118.594"
"1","1","13","65","508","24.8","3.1","419.161","34.311","1030.14","988.888"
"1","1","14","103","403","24.8","3.8","347.805","32.001","858.089","821.777"
"1","1","15","87","316","24.9","4.4","257.484","29.688","637.102","606.641"
"1","1","16","47","213","24.9","5.1","155.436","27.162","390.628","366.039"
"1","1","17","34","97","23.8","4.3","69.512","24.276","188.461","168.172"
"1","1","18","0","7","22.7","3.4","5.491","21.525","14.399","0"
"1","1","19","0","0","21.5","2.6","0","21.5","0","0"
"1","1","20","0","0","20.4","1.7","0","20.4","0","0"
"1","1","21","0","0","19.3","0.8","0","19.3","0","0"
"1","1","22","0","0","18.2","0","0","18.2","0","0"
"1","1","23","0","0","17.9","0","0","17.9","0","0"
"1","2","0","0","0","17.6","0","0","17.6","0","0"
"1","2","1","0","0","17.3","0","0","17.3","0","0"
"1","2","2","0","0","17","0","0","17","0","0"
"1","2","3","0","0","16.1","0","0","16.1","0","0"
"1","2","4","0","0","15.3","0","0","15.3","0","0"
"1","2","5","0","9","15.8","0","7.069","12.317","19.325","2.278"
"1","2","6","119","92","17.2","0.2","66.498","16.746","207.61","186.934"
"1","2","7","99","241","18.6","0.4","177.732","23.216","448.48","422.574"
"1","2","8","142","333","20","0.6","283.425","28.689","698.122","666.101"
"1","2","9","174","381","21.4","0.8","362.806","32.678","886.113","849.019"
"1","2","10","64","511","22.8","1","421.244","35.63","1028.682","987.473"
"1","2","11","78","568","23.9","0.7","476.93","39.736","1141.731","1097.095"
"1","2","12","96","583","24.9","0.5","498.24","42.579","1174.97","1129.299"
"1","2","13","118","551","26","2.1","478.352","38.347","1149.728","1104.845"
"1","2","14","188","413","25","0.5","390.192","39.259","922.24","884.125"
"1","2","15","157","330","23.7","1.5","285.323","31.59","690.957","659.122"
"1","2","16","87","232","22.5","2.6","170.845","25.979","426.829","401.421"
"1","2","17","21","96","22","1.9","70.452","22.741","188.872","168.576"
"1","2","18","0","6","21.4","1.2","4.703","19.76","12.434","0"
"1","2","19","0","0","20.9","0.5","0","20.9","0","0"
"1","2","20","0","0","20.6","1.2","0","20.6","0","0"
"1","2","21","0","0","20.4","1.9","0","20.4","0","0"
"1","2","22","0","0","20.1","2.6","0","20.1","0","0"
"1","2","23","0","0","19.4","2.2","0","19.4","0","0"
"1","3","0","0","0","18.7","1.9","0","18.7","0","0"
"1","3","1","0","0","18","1.5","0","18","0","0"
"1","3","2","0","0","18","1.9","0","18","0","0"
"1","3","3","0","0","17.5","2.2","0","17.5","0","0"
"1","3","4","0","0","17","2.6","0","17","0","0"
"1","3","5","0","8","16.9","2.6","6.28","15.297","16.94","0"
"1","3","6","144","91","18.6","3.4","66.013","18.586","210.953","190.209"
"1","3","7","220","213","20.3","4.1","172.677","22.782","419.238","394.002"
"1","3","8","218","333","21.7","3.9","305.477","27.382","747.731","714.41"
"1","3","9","223","413","23","3.8","406.168","31.223","996.44","956.182"
"1","3","10","118","553","24.4","3.6","480.242","34.624","1175.906","1130.206"
"1","3","11","219","494","24.8","2.7","504.775","36.801","1220.103","1173.006"
"1","3","12","220","494","25.1","1.9","505.402","38.545","1210.991","1164.184"
"1","3","13","223","454","25.5","1","465.171","40.201","1101.408","1058.012"
"1","3","14","188","414","26","1.5","391.604","37.114","935.781","897.28"
"1","3","15","158","331","26.6","2.1","286.956","33.763","687.682","655.931"
"1","3","16","88","233","27.1","2.6","172.048","30.694","420.069","394.814"
"1","3","17","63","92","25.9","2.6","67","26.551","186.494","166.245"
"1","3","18","0","7","24.8","2.6","5.491","23.583","14.261","0"
"1","3","19","0","0","23.6","2.6","0","23.6","0","0"
"1","3","20","0","0","23","1.9","0","23","0","0"
"1","3","21","0","0","22.5","1.2","0","22.5","0","0"
"1","3","22","0","0","21.9","0.5","0","21.9","0","0"
"1","3","23","0","0","21.5","0.3","0","21.5","0","0"
"1","4","0","0","0","21","0.2","0","21","0","0"
"1","4","1","0","0","20.6","0","0","20.6","0","0"
"1","4","2","0","0","20","1.2","0","20","0","0"
"1","4","3","0","0","19.5","2.4","0","19.5","0","0"
"1","4","4","0","0","18.9","3.6","0","18.9","0","0"
"1","4","5","0","6","18.9","3.6","4.703","17.486","12.563","0"
"1","4","6","63","79","19.9","3.6","59.128","19.755","171.851","151.895"
"1","4","7","72","204","21","3.6","153.411","23.15","389.16","364.604"
"1","4","8","86","318","22.4","3.6","259.361","27.17","649.857","619.074"
