"PVWatts: Hourly PV Performance Data"
"Requested Location:","johannesburg south africa"
"Location:","HARARE, ZIMBABWE"
"Lat (deg S):","17.92"
"Long (deg E):","31.13"
"Elev (m):","1503"
"DC System Size (kW):","3"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","30"
"Array Azimuth (deg):","0"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","1.85"
"Initial Cost","40.00"
"Cost of Electricity Generated by System ($/kWh):","1.88"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","4","9","102","405","23.9","3.6","427.71","32.788","1059.843","1017.704"
"1","4","10","121","457","25.3","3.6","505.238","36.115","1233.829","1186.294"
"1","4","11","78","568","26","2.6","577.313","39.923","1384.46","1331.975"
"1","4","12","96","583","26.7","1.5","605.515","43.962","1422.354","1368.584"
"1","4","13","118","552","27.4","0.5","586.064","48.333","1344.786","1293.63"
"1","4","14","203","376","26.4","2.2","468.894","38.587","1126.283","1082.124"
"1","4","15","107","324","25.3","4","336.737","32.236","831.287","795.714"
"1","4","16","72","203","24.3","5.7","195.264","27.224","488.02","461.194"
"1","4","17","14","89","23.7","5","76.947","24.33","197.999","177.518"
"1","4","18","0","6","23.1","4.3","5.401","22.039","14.127","0"
"1","4","19","0","0","22.5","3.6","0","22.5","0","0"
"1","4","20","0","0","21.8","2.6","0","21.8","0","0"
"1","4","21","0","0","21","1.5","0","21","0","0"
"1","4","22","0","0","20.3","0.5","0","20.3","0","0"
"1","4","23","0","0","19.8","0.5","0","19.8","0","0"
"1","5","0","0","0","19.4","0.5","0","19.4","0","0"
"1","5","1","0","0","18.9","0.5","0","18.9","0","0"
"1","5","2","0","0","18.2","0.5","0","18.2","0","0"
"1","5","3","0","0","17.6","0.5","0","17.6","0","0"
"1","5","4","0","0","16.9","0.5","0","16.9","0","0"
"1","5","5","0","6","16.5","0","5.401","12.978","14.721","0"
"1","5","6","63","78","18.6","0.2","66.981","18.213","173.544","153.555"
"1","5","7","73","203","20.8","0.5","194.947","25.92","489.984","463.111"
"1","5","8","86","318","21.3","1","321.194","30.339","801.336","766.579"
"1","5","9","103","405","21.9","1.6","428.425","33.33","1058.775","1016.669"
"1","5","10","122","457","22.4","2.1","506.211","35.276","1241.338","1193.562"
"1","5","11","120","494","23.6","2.6","546.906","36.829","1331.733","1281.011"
"1","5","12","120","494","24.8","3.1","547.06","37.392","1328.387","1277.775"
"1","5","13","123","457","26","3.6","507.478","37.113","1233.187","1185.673"
"1","5","14","168","380","26","3.4","450.288","35.978","1096.659","1053.407"
