"PVWatts: Hourly PV Performance Data"
"Requested Location:","johannesburg south africa"
"Location:","HARARE, ZIMBABWE"
"Lat (deg S):","17.92"
"Long (deg E):","31.13"
"Elev (m):","1503"
"DC System Size (kW):","3"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","0"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","1.85"
"Initial Cost","40.00"
"Cost of Electricity Generated by System ($/kWh):","1.87"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","17.9","1.5","0","17.9","0","0"
"1","1","1","0","0","17.5","1.5","0","17.5","0","0"
"1","1","2","0","0","17.1","1.2","0","17.1","0","0"
"1","1","3","0","0","16.8","0.8","0","16.8","0","0"
"1","1","4","0","0","16.3","0.5","0","16.3","0","0"
"1","1","5","0","7","15.8","2.6","6.614","14.165","17.934","0.912"
"1","1","6","69","81","17.7","3.9","80.532","18.002","203.967","183.365"
"1","1","7","73","207","19.3","5.1","216.129","22.354","555.52","527.079"
"1","1","8","101","333","20.8","4.1","367.037","27.788","929.23","890.916"
"1","1","9","204","379","22.2","3.1","506.754","33.467","1251.786","1203.674"
"1","1","10","119","555","23.7","2.1","626.646","39.814","1503.56","1446.98"
"1","1","11","97","584","24.1","2.4","643.646","40.318","1540.865","1482.969"
"1","1","12","79","567","24.4","2.8","611.23","39.148","1471.954","1416.476"
"1","1","13","65","508","24.8","3.1","536.815","37.309","1304.507","1254.682"
"1","1","14","103","403","24.8","3.8","454.568","34.553","1118.252","1074.34"
"1","1","15","87","316","24.9","4.4","343.158","31.67","852.965","816.795"
"1","1","16","47","213","24.9","5.1","211.862","28.387","532.144","504.268"
"1","1","17","34","97","23.8","4.3","90.171","24.826","227.882","206.791"
"1","1","18","0","7","22.7","3.4","6.614","21.6","17.338","0.327"
"1","1","19","0","0","21.5","2.6","0","21.5","0","0"
"1","1","20","0","0","20.4","1.7","0","20.4","0","0"
"1","1","21","0","0","19.3","0.8","0","19.3","0","0"
"1","1","22","0","0","18.2","0","0","18.2","0","0"
"1","1","23","0","0","17.9","0","0","17.9","0","0"
"1","2","0","0","0","17.6","0","0","17.6","0","0"
"1","2","1","0","0","17.3","0","0","17.3","0","0"
"1","2","2","0","0","17","0","0","17","0","0"
"1","2","3","0","0","16.1","0","0","16.1","0","0"
"1","2","4","0","0","15.3","0","0","15.3","0","0"
"1","2","5","0","9","15.8","0","8.508","12.398","23.252","6.133"
"1","2","6","119","92","17.2","0.2","94.917","18.064","234.631","213.402"
"1","2","7","99","241","18.6","0.4","254.558","26.281","640.736","610.184"
"1","2","8","142","333","20","0.6","389.812","32.676","962.091","922.833"
"1","2","9","174","381","21.4","0.8","486.876","37.046","1181.98","1136.089"
"1","2","10","64","511","22.8","1","539.115","39.638","1294.892","1245.382"
"1","2","11","78","568","23.9","0.7","611.517","44.363","1433.99","1379.822"
"1","2","12","96","583","24.9","0.5","641.897","47.658","1479.559","1423.817"
"1","2","13","118","551","26","2.1","621.937","42.342","1473.2","1417.679"
"1","2","14","188","413","25","0.5","526.094","44.287","1231.065","1183.619"
"1","2","15","157","330","23.7","1.5","394.854","35.14","962.04","922.783"
"1","2","16","87","232","22.5","2.6","242.212","28.049","605.335","575.67"
"1","2","17","21","96","22","1.9","89.534","23.516","229.509","208.385"
"1","2","18","0","6","21.4","1.2","5.668","19.88","14.975","0"
"1","2","19","0","0","20.9","0.5","0","20.9","0","0"
"1","2","20","0","0","20.6","1.2","0","20.6","0","0"
"1","2","21","0","0","20.4","1.9","0","20.4","0","0"
"1","2","22","0","0","20.1","2.6","0","20.1","0","0"
"1","2","23","0","0","19.4","2.2","0","19.4","0","0"
"1","3","0","0","0","18.7","1.9","0","18.7","0","0"
"1","3","1","0","0","18","1.5","0","18","0","0"
"1","3","2","0","0","18","1.9","0","18","0","0"
"1","3","3","0","0","17.5","2.2","0","17.5","0","0"
"1","3","4","0","0","17","2.6","0","17","0","0"
"1","3","5","0","8","16.9","2.6","7.561","15.333","20.394","3.328"
"1","3","6","144","91","18.6","3.4","96.533","19.303","233.908","212.694"
"1","3","7","220","213","20.3","4.1","271.026","24.976","672.226","640.873"
"1","3","8","218","333","21.7","3.9","431.527","30.324","1074.021","1031.456"
"1","3","9","223","413","23","3.8","551.74","34.633","1355.081","1303.583"
"1","3","10","118","553","24.4","3.6","624.093","38.063","1510.687","1453.857"
"1","3","11","219","494","24.8","2.7","670.296","41.042","1598.566","1538.603"
"1","3","12","220","494","25.1","1.9","671.217","43.268","1582.648","1523.259"
"1","3","13","223","454","25.5","1","620.713","45.345","1447.185","1392.564"
"1","3","14","188","414","26","1.5","527.482","41.346","1253.13","1204.976"
"1","3","15","158","331","26.6","2.1","396.756","36.971","958.004","918.864"
"1","3","16","88","233","27.1","2.6","243.733","32.741","595.513","566.091"
"1","3","17","63","92","25.9","2.6","89.686","27.315","219.674","198.752"
"1","3","18","0","7","24.8","2.6","6.614","23.675","17.171","0.164"
"1","3","19","0","0","23.6","2.6","0","23.6","0","0"
"1","3","20","0","0","23","1.9","0","23","0","0"
"1","3","21","0","0","22.5","1.2","0","22.5","0","0"
"1","3","22","0","0","21.9","0.5","0","21.9","0","0"
"1","3","23","0","0","21.5","0.3","0","21.5","0","0"
"1","4","0","0","0","21","0.2","0","21","0","0"
"1","4","1","0","0","20.6","0","0","20.6","0","0"
"1","4","2","0","0","20","1.2","0","20","0","0"
"1","4","3","0","0","19.5","2.4","0","19.5","0","0"
"1","4","4","0","0","18.9","3.6","0","18.9","0","0"
"1","4","5","0","6","18.9","3.6","5.668","17.511","15.138","0"
"1","4","6","63","79","19.9","3.6","78.822","20.208","198.492","178.001"
"1","4","7","72","204","21","3.6","212.754","24.537","541.175","513.082"
"1","4","8","86","318","22.4","3.6","344.871","29.211","867.589","831.012"
